MA_1_1,MA_1_2,MA_1_3,MA_1_4,MA_1_5,MA_1_6,MA_1_7,MA_1_8,MA_1_9,MA_1_10,MA_1_11,MA_2_1,MA_2_2,MA_2_3,MA_2_4,MA_2_5,MA_2_6,MA_2_7,MA_2_8,MA_2_9,MA_2_10,MA_2_11,GA_1,GA_2,GA_3,GA_4,GA_5,GA_6,GA_7,Age,Employment_1,Employment_2,Employment_3,Employment_4,Teacher,Educ_Attain,Parent,child35,child618,gender,ethnicity,race,collectiontype,id,Hopko_MA_mean,CG_MA_mean,scale1to10,generalanxiety,testanxiety,Fluency_Correct,MathFluency,BerlinNumeracy,ONET___STEM,Medianhouseholdincomedollars
Moderate anxiety,Quite a bit of anxiety,Low anxiety,High anxiety,Some anxiety,Moderate anxiety,Low anxiety,Some anxiety,Some anxiety,Quite a bit of anxiety,Moderate anxiety,Generally true of me,Generally not true of me,Generally true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Very true of me,Very true of me,Generally not true of me,Somewhat true of me,Very true of me,"Applied to me very much, or most of the time","Applied to me to some degree, or some of the time","Applied to me very much, or most of the time","Applied to me to a considerable degree, or a good part of the time",Did not apply to me at all,"Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time",32,,,1,,No,Graduated from 4-year college,No,,,Man,Non-Hispanic/Latino,Black or African American,1,350,2.6666666667,3.5454545455,6,2.7142857143,-3,16,0.2666488901,1,1,37038
Moderate anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Moderate anxiety,Some anxiety,Quite a bit of anxiety,Some anxiety,Quite a bit of anxiety,Moderate anxiety,Quite a bit of anxiety,Generally true of me,Somewhat true of me,Generally not true of me,Somewhat true of me,Generally true of me,Somewhat true of me,Somewhat true of me,Very true of me,Somewhat true of me,Generally true of me,Very true of me,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time","Applied to me to a considerable degree, or a good part of the time",31,,,,1,No,Graduated from 2-year college,No,,,Woman,Non-Hispanic/Latino,White,1,683,2.9166666667,3.5454545455,7,2.5714285714,-1.75,27,0.449970002,1,0,42382
High anxiety,High anxiety,High anxiety,High anxiety,High anxiety,High anxiety,High anxiety,High anxiety,High anxiety,High anxiety,High anxiety,Very true of me,Very true of me,Very true of me,Very true of me,Generally not true of me,Very true of me,Very true of me,Very true of me,Somewhat true of me,Not true of me at all,Not true of me at all,Did not apply to me at all,"Applied to me very much, or most of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,30,,,1,,No,Completed graduate or professional school,Yes,Yes,No,Man,Non-Hispanic/Latino,White,1,685,5,3.8181818182,6,1.4285714286,-4,47,0.7832811146,1,0,34050
Quite a bit of anxiety,High anxiety,Low anxiety,High anxiety,High anxiety,Some anxiety,Quite a bit of anxiety,Low anxiety,Some anxiety,Some anxiety,High anxiety,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,27,,,1,,No,Graduated from 4-year college,No,,,Man,Non-Hispanic/Latino,,1,360,3.25,5,10,1,-3.75,,,1,1,61396
Moderate anxiety,Some anxiety,Some anxiety,Some anxiety,Low anxiety,Moderate anxiety,Some anxiety,Some anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Generally true of me,Somewhat true of me,Somewhat true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,"Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time",23,,1,,,,Graduated from 4-year college,No,,,Man,Non-Hispanic/Latino,White,1,440,2.3333333333,2.9090909091,5,2.4285714286,-2.25,38,0.6332594531,1,,42615
Some anxiety,Some anxiety,Low anxiety,Moderate anxiety,Some anxiety,Low anxiety,Some anxiety,Low anxiety,Some anxiety,Low anxiety,Some anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Somewhat true of me,Not true of me at all,Not true of me at all,Not true of me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,65,,,,1,No,Completed graduate or professional school,Yes,No,No,Woman,Non-Hispanic/Latino,White,1,58,1.6666666667,1.1818181818,1,1,-4,18,0.2994510065,1,0,66210
Low anxiety,Low anxiety,Moderate anxiety,Some anxiety,Some anxiety,Some anxiety,Some anxiety,Some anxiety,Low anxiety,Low anxiety,Some anxiety,Generally not true of me,Not true of me at all,Somewhat true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,40,,,,1,No,Graduated from 4-year college,Yes,Yes,No,Woman,Non-Hispanic/Latino,Asian,1,255,1.6666666667,2.2727272727,3,1,-3.5,34,0.5665155958,1,1,99036
Moderate anxiety,Some anxiety,High anxiety,High anxiety,Quite a bit of anxiety,Moderate anxiety,Quite a bit of anxiety,Moderate anxiety,Quite a bit of anxiety,Low anxiety,Quite a bit of anxiety,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Somewhat true of me,Generally true of me,Generally true of me,Very true of me,Very true of me,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,31,,,1,,No,Some college,No,,,Woman,Non-Hispanic/Latino,White,1,875,3.3333333333,4.0909090909,7,1.2857142857,-2.25,38,0.6241274534,1,0,49295
Low anxiety,Low anxiety,Moderate anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Some anxiety,Quite a bit of anxiety,Moderate anxiety,Not true of me at all,Generally not true of me,Not true of me at all,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Somewhat true of me,Generally not true of me,Somewhat true of me,"Applied to me to a considerable degree, or a good part of the time","Applied to me very much, or most of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me very much, or most of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time","Applied to me very much, or most of the time",31,,,1,,No,Some college,Yes,No,No,Woman,Non-Hispanic/Latino,Black or African American,1,635,1.75,2.5454545455,6,3.2857142857,-3.75,31,0.516597787,1,0,76832
Moderate anxiety,Moderate anxiety,High anxiety,High anxiety,Low anxiety,Moderate anxiety,Moderate anxiety,Moderate anxiety,High anxiety,Quite a bit of anxiety,Quite a bit of anxiety,Very true of me,Generally true of me,Generally not true of me,Generally true of me,Generally true of me,Somewhat true of me,Generally true of me,Very true of me,Generally true of me,Generally true of me,Generally true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,57,,,,1,No,Some college,Yes,No,No,Woman,Non-Hispanic/Latino,Black or African American,1,292,3.5833333333,3.9090909091,10,1,-2.25,27,0.4499625031,1,0,38678
Moderate anxiety,Low anxiety,Quite a bit of anxiety,Moderate anxiety,Moderate anxiety,Moderate anxiety,High anxiety,Some anxiety,Some anxiety,Moderate anxiety,High anxiety,Generally not true of me,Very true of me,Somewhat true of me,Generally true of me,Very true of me,Generally true of me,Somewhat true of me,Generally true of me,Very true of me,Very true of me,Generally true of me,"Applied to me very much, or most of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time","Applied to me very much, or most of the time","Applied to me to some degree, or some of the time",23,,1,,1,No,Some college,No,,,Man,Non-Hispanic/Latino,White,2,974,3.0833333333,4,6,3,-1.5,20,0.3285582862,4,0,81046
Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Some anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Somewhat true of me,Not true of me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,49,,,1,,No,Some college,No,,,Woman,Non-Hispanic/Latino,White,1,421,1.1666666667,1.1818181818,1,1,-3.75,48,0.8290728202,2,0,120714
Moderate anxiety,Some anxiety,High anxiety,Low anxiety,Quite a bit of anxiety,Moderate anxiety,Quite a bit of anxiety,Moderate anxiety,Moderate anxiety,Quite a bit of anxiety,High anxiety,Generally true of me,Very true of me,Generally true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,31,,,,,,Graduated from 4-year college,No,,,Woman,Non-Hispanic/Latino,White,1,227,3.25,4.8181818182,10,1,-1.75,20,0.3325739561,3,,91033
Low anxiety,Low anxiety,Moderate anxiety,Low anxiety,Some anxiety,Low anxiety,Moderate anxiety,Low anxiety,Low anxiety,Moderate anxiety,Moderate anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,64,,,,,,Completed graduate or professional school,Yes,No,No,Man,Non-Hispanic/Latino,White,1,658,1.75,1,1,1,-3.75,19,0.3166297265,2,,52247
Low anxiety,Low anxiety,Some anxiety,Some anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Not true of me at all,Not true of me at all,Generally not true of me,Generally not true of me,Generally not true of me,Not true of me at all,Generally not true of me,Not true of me at all,Not true of me at all,Generally not true of me,Not true of me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time",22,,,1,,No,Graduated from 4-year college,No,,,Woman,Non-Hispanic/Latino,Asian,1,548,1.3333333333,1.4545454545,2,1.5714285714,-3.25,36,0.5999500042,2,0,62784
Some anxiety,Low anxiety,Moderate anxiety,Low anxiety,Low anxiety,Some anxiety,Moderate anxiety,Some anxiety,Low anxiety,Moderate anxiety,Some anxiety,Somewhat true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Generally true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Somewhat true of me,Generally true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,36,,,1,,No,Graduated from 4-year college,No,,,Man,Non-Hispanic/Latino,Asian,1,195,1.9166666667,3.0909090909,4,1,-3.25,32,0.5332977801,3,0,36066
Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,33,,,,1,No,Graduated from 4-year college,No,,,Woman,Non-Hispanic/Latino,White,1,30,1.0833333333,1,1,1,-4,44,0.7331378299,2,0,33305
Moderate anxiety,Low anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Moderate anxiety,Moderate anxiety,Low anxiety,Low anxiety,Quite a bit of anxiety,Quite a bit of anxiety,Generally true of me,Somewhat true of me,Not true of me at all,Somewhat true of me,Generally true of me,Generally true of me,Very true of me,Generally true of me,Somewhat true of me,Generally true of me,Very true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",37,,,,,,Some college,Yes,Yes,Yes,Woman,Non-Hispanic/Latino,White,1,161,2.5833333333,3.6363636364,6,1.1428571429,-3.25,23,0.383275842,2,,45057
Low anxiety,Low anxiety,High anxiety,Low anxiety,Low anxiety,Some anxiety,High anxiety,Low anxiety,Some anxiety,Moderate anxiety,High anxiety,Very true of me,Generally true of me,Generally not true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Generally true of me,Very true of me,Very true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,35,,,1,,No,Completed graduate or professional school,Yes,Yes,Yes,Woman,Hispanic/Latino,White,1,317,2.3333333333,4.5454545455,8,1,-3.5,39,0.6499783341,2,0,56172
Low anxiety,Moderate anxiety,Quite a bit of anxiety,Low anxiety,Moderate anxiety,Low anxiety,Quite a bit of anxiety,Low anxiety,Low anxiety,Low anxiety,Quite a bit of anxiety,Somewhat true of me,Not true of me at all,Not true of me at all,Generally not true of me,Somewhat true of me,Generally not true of me,Generally true of me,Somewhat true of me,Very true of me,Generally true of me,Generally true of me,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,27,,,1,,No,Graduated from 4-year college,No,,,Woman,Non-Hispanic/Latino,White,1,789,2.1666666667,2.9090909091,5,1.2857142857,-3,15,0.2449859541,1,1,70017
Low anxiety,Low anxiety,Some anxiety,Low anxiety,Moderate anxiety,Low anxiety,Some anxiety,Some anxiety,Low anxiety,Quite a bit of anxiety,Some anxiety,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,42,1,,,1,No,Some college,Yes,No,Yes,Woman,Non-Hispanic/Latino,White,1,628,1.75,2.6363636364,3,1.1428571429,-3,25,0.4165139449,2,0,43871
High anxiety,High anxiety,High anxiety,High anxiety,High anxiety,High anxiety,High anxiety,High anxiety,High anxiety,Moderate anxiety,High anxiety,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,28,,,1,,No,Graduated from 4-year college,No,,,Woman,Non-Hispanic/Latino,White,2,906,4.8333333333,5,10,1,-1.75,20,0.3332000533,3,0,69514
Quite a bit of anxiety,Quite a bit of anxiety,Moderate anxiety,Quite a bit of anxiety,Quite a bit of anxiety,Some anxiety,Quite a bit of anxiety,Moderate anxiety,Moderate anxiety,Quite a bit of anxiety,High anxiety,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Somewhat true of me,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Very true of me,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",47,,,,1,No,Graduated high school or high school equivalent,Yes,No,No,Woman,Non-Hispanic/Latino,White,1,805,3.5,4,8,1.8571428571,-1.5,28,0.4543241928,2,0,53820
Low anxiety,High anxiety,Low anxiety,Low anxiety,High anxiety,Low anxiety,Low anxiety,Low anxiety,Moderate anxiety,Low anxiety,Low anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Generally not true of me,Generally not true of me,Not true of me at all,Not true of me at all,Generally not true of me,Very true of me,Generally true of me,Generally true of me,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time",44,,,,,,Graduated high school or high school equivalent,No,,,Man,Non-Hispanic/Latino,White,1,471,1.8333333333,2.1818181818,0,1.5714285714,-4,33,0.5485463522,4,,65109
Low anxiety,Some anxiety,Quite a bit of anxiety,Some anxiety,Some anxiety,Low anxiety,Quite a bit of anxiety,Some anxiety,Moderate anxiety,Quite a bit of anxiety,Moderate anxiety,Somewhat true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Generally true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Generally true of me,Generally true of me,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,30,,,1,,No,Graduated from 4-year college,No,,,Man,Non-Hispanic/Latino,Asian,1,32,2.4166666667,3.1818181818,6,1.1428571429,-3.5,38,0.6332911139,4,0,45838
Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Some anxiety,Moderate anxiety,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally not true of me,Generally true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,59,,,,,,Graduated from 2-year college,Yes,No,No,Woman,Non-Hispanic/Latino,White,1,257,1.4166666667,2.5454545455,2,1,-3.25,20,0.3333000033,2,,54711
Quite a bit of anxiety,Some anxiety,Moderate anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Quite a bit of anxiety,Moderate anxiety,Moderate anxiety,Some anxiety,Some anxiety,Generally not true of me,Somewhat true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Generally true of me,Generally not true of me,Generally not true of me,Generally true of me,Somewhat true of me,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time",27,,,1,,No,Graduated from 4-year college,No,,,Man,Non-Hispanic/Latino,White,1,295,2.9166666667,2.7272727273,4,2.4285714286,-2.75,48,0.8333622695,1,0,101750
Low anxiety,Some anxiety,Low anxiety,Low anxiety,Moderate anxiety,Low anxiety,Some anxiety,Some anxiety,Low anxiety,Some anxiety,Some anxiety,Generally not true of me,Generally not true of me,Generally not true of me,Not true of me at all,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Not true of me at all,Generally not true of me,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,26,,,1,,No,Graduated from 4-year college,No,,,Man,Non-Hispanic/Latino,White,1,397,1.5833333333,1.8181818182,2,1,-4,37,0.6165536318,2,0,72852
Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,49,,,1,,No,Graduated from 4-year college,Yes,No,Yes,Man,Non-Hispanic/Latino,White,1,254,1.1666666667,1,1,1,-4,32,0.5332711184,4,0,38333
Quite a bit of anxiety,Quite a bit of anxiety,High anxiety,Quite a bit of anxiety,High anxiety,High anxiety,High anxiety,Some anxiety,Moderate anxiety,Quite a bit of anxiety,High anxiety,Generally true of me,Generally true of me,Generally not true of me,Very true of me,Very true of me,Generally true of me,Generally true of me,Very true of me,Very true of me,Very true of me,Very true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,44,,,1,,No,Graduated from 4-year college,No,,,Woman,Non-Hispanic/Latino,Multirace (please specify):,1,188,4.0833333333,4.3636363636,9,1,-2.75,36,0.5997900735,2,0,42252
Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Some anxiety,Some anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,46,,,,1,No,Graduated from 4-year college,Yes,Yes,Yes,Woman,Non-Hispanic/Latino,White,1,786,1.25,1,0,1,-4,31,0.5074812559,4,0,47077
Low anxiety,High anxiety,Quite a bit of anxiety,Some anxiety,Quite a bit of anxiety,High anxiety,Quite a bit of anxiety,Quite a bit of anxiety,Some anxiety,Low anxiety,Quite a bit of anxiety,Generally not true of me,Generally not true of me,Not true of me at all,Generally not true of me,Somewhat true of me,Generally not true of me,Somewhat true of me,Generally true of me,Generally true of me,Generally not true of me,Generally true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,27,,,1,,No,Graduated from 4-year college,Yes,No,Yes,Woman,Hispanic/Latino,Multirace (please specify):,2,910,3.25,2.6363636364,2,1,-4,35,0.583294447,2,0,64393
Some anxiety,Moderate anxiety,Moderate anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,High anxiety,Some anxiety,Quite a bit of anxiety,Quite a bit of anxiety,Quite a bit of anxiety,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally not true of me,Generally true of me,Somewhat true of me,Generally true of me,Generally true of me,Very true of me,Very true of me,Very true of me,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,44,1,,1,,No,Graduated from 2-year college,No,,,Man,Non-Hispanic/Latino,White,1,410,3.1666666667,3.7272727273,7,1.2857142857,-3,22,0.3655517339,1,0,47091
Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,48,,,,,,Some college,No,,,Man,Non-Hispanic/Latino,White,1,715,1,1,0,1,-4,41,0.667752443,4,,37316
Some anxiety,Low anxiety,Moderate anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Some anxiety,Low anxiety,Some anxiety,Some anxiety,Generally not true of me,Generally not true of me,Not true of me at all,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally true of me,Somewhat true of me,Generally not true of me,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",23,,,1,,No,Graduated from 4-year college,No,,,Woman,Non-Hispanic/Latino,White,1,736,1.6666666667,2.2727272727,3,1.5714285714,-3,30,0.4913280597,4,1,104974
Some anxiety,Low anxiety,Moderate anxiety,Some anxiety,Moderate anxiety,Low anxiety,Quite a bit of anxiety,Low anxiety,Some anxiety,Quite a bit of anxiety,Some anxiety,Generally not true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Not true of me at all,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,30,,,1,,No,Completed graduate or professional school,Yes,Yes,No,Man,Non-Hispanic/Latino,White,1,804,2.3333333333,2.5454545455,4,1,-3.75,23,0.3751060082,2,0,71957
Moderate anxiety,Moderate anxiety,High anxiety,Some anxiety,High anxiety,Some anxiety,Some anxiety,Quite a bit of anxiety,Moderate anxiety,Low anxiety,Moderate anxiety,Generally not true of me,Generally not true of me,Very true of me,Very true of me,Somewhat true of me,Very true of me,Somewhat true of me,Very true of me,Generally true of me,Generally true of me,Generally true of me,"Applied to me very much, or most of the time",Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,61,,,1,,No,Some college,No,,,Man,Non-Hispanic/Latino,White,1,810,3.1666666667,3.8181818182,6,1.7142857143,-1.75,7,0.1150142946,1,0,50758
Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Not true of me at all,Not true of me at all,Generally not true of me,Generally not true of me,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,"Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",35,,,1,,No,Completed graduate or professional school,No,,,Man,Non-Hispanic/Latino,Asian,1,659,1.1666666667,1.1818181818,1,2.2857142857,-3.25,36,0.5999200107,3,1,47037
Some anxiety,Some anxiety,Some anxiety,Some anxiety,Some anxiety,Some anxiety,Some anxiety,Some anxiety,Some anxiety,Some anxiety,Some anxiety,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,52,,,1,,No,Graduated from 4-year college,Yes,No,No,Man,Non-Hispanic/Latino,White,1,661,2,2,3,1.1428571429,-3,48,0.7999466702,2,1,56946
Moderate anxiety,Some anxiety,High anxiety,Moderate anxiety,High anxiety,Moderate anxiety,High anxiety,Moderate anxiety,High anxiety,High anxiety,High anxiety,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,"Applied to me very much, or most of the time","Applied to me very much, or most of the time","Applied to me very much, or most of the time","Applied to me very much, or most of the time","Applied to me very much, or most of the time","Applied to me very much, or most of the time","Applied to me very much, or most of the time",20,,1,,,,Some college,No,,,Woman,Hispanic/Latino,White,2,899,3.9166666667,5,10,4,-1.75,30,0.4999333422,1,,19128
